num,name,url,image
01,Säbelschnäbler,https://de.wikipedia.org/wiki/S%C3%A4belschn%C3%A4bler#/media/Datei:Pied_Avocet_Recurvirostra_avosetta.jpg,01_Säbelschnäbler.jpg
a,Stelzenläufer,
b,Säbelschnäbler,
c,Silberreiher,
,,
02,Bienenfresser,https://de.wikipedia.org/wiki/Bienenfresser_(Familie)#/media/Datei:%C5%9Eahl%C3%BBr-33.jpg,02_Bienenfresser.jpg
a,Eisvogel,
b,Grünspecht,
c,Bienenfresser,
,,
03,GroßerBrachvogel,https://de.wikipedia.org/wiki/Gro%C3%9Fer_Brachvogel#/media/Datei:Eurasian_Curlew.jpg,03_GroßerBrachvogel.jpg
a,Großer Brachvogel,
b,Strandläufer,
c,Waldschnepfe,
,,
04,Wiedehopf,https://de.wikipedia.org/wiki/Wiedehopf#/media/Datei:ABUBILLA_(Upupa_epops).jpg,04_Wiedehopf.jpg
a,Rotspecht,
b,Wiedehopf,
c,Buntspecht,
,,
05,Eisvogel,https://de.wikipedia.org/wiki/Eisvogel#/media/Datei:Eisvogeltreffen.jpg,05_Eisvogel.jpg
a,Blauspecht,
b,Eisvogel,
c,Bienenfresser,
,,
06,Silberreiher,https://de.wikipedia.org/wiki/Silberreiher#/media/Datei:Great_Egret_Ardea_alba.jpg,06_Silberreiher.jpg
a,Krainich,
b,Storch,
c,Silberreiher,
,,
07,Strandläufer,https://de.wikipedia.org/wiki/Strandl%C3%A4ufer#/media/Datei:Pectoral_Sandpiper3.jpg,07_Strandläufer.jpg
a,Bekassine,
b,Großer Brachvogel,
c,Strandläufer,
,,
08,Kranich,https://de.wikipedia.org/wiki/Kranich#/media/Datei:Common_crane_grus_grus.jpg,08_Kranich.jpg
a,Graureiher,
b,Seidenreiher,
c,Kranich,
,,
09,Seeadler,https://de.wikipedia.org/wiki/Seeadler_(Art)#/media/Datei:Haliaeetus_albicilla_-captive-8a.jpg,09_Seeadler.jpg
a,Steinadler,
b,Fischadler,
c,Seeadler,
,,
10,Eichelhäher,https://de.wikipedia.org/wiki/Eichelh%C3%A4her#/media/Datei:Eichelh%C3%A4her_im_Geb%C3%BCsch.jpg,10_Eichelhäher.jpg
a,Tannenhäher,
b,Eichelhäher,
c,Elster,
,,
11,Rotschenkel,https://de.wikipedia.org/wiki/Rotschenkel#/media/Datei:Common_Redshank_Tringa_totanus.jpg,11_Rotschenkel.jpg
a,Dunkelwasserläufer,
b,Rotschenkel,
c,Säbelschnäbler,
,,
12,Grünspecht,https://de.wikipedia.org/wiki/Gr%C3%BCnspecht#/media/Datei:European_Green_Woodpecker.jpg,12_Grünspecht.jpg
a,Grünspecht,
b,Tannenhäher,
c,Wiedehopf,
,,
13,Rotkelchen,https://de.wikipedia.org/wiki/Rotkehlchen#/media/Datei:Erithacus_rubecula_profile.jpg,13_Rotkelchen.jpg
a,Rotmeise,
b,Rotkelchen,
c,Graudrossel,
,,
14,Waldkauz,"https://de.wikipedia.org/wiki/Waldkauz#/media/Datei:Strix_aluco,_Neuss_-_0132.jpg",14_Waldkauz.jpg
a,Waldkauz,
b,Eule,
c,Uhu,
,,
15,Kiebitz,https://de.wikipedia.org/wiki/Kiebitz_(Art)#/media/Datei:Northern-Lapwing-Vanellus-vanellus_crop.jpg,15_Kiebitz.jpg
a,Amsel,
b,Kiebitz,
c,Grünmeise,
